usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.761,21.779,75.46,0.0,0.0,0.0,132481024.0,22700032.0,263053312.0,3596029952.0,2144.0,15364.0,0.0,40960.0,0.0,4.0,1308.0,20899.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,48818.0,130766.0,5.0,0.0,10.0
9.034,20.872,70.093,0.0,0.0,0.0,129769472.0,22700032.0,263053312.0,3598741504.0,2144.0,15338.0,0.0,0.0,0.0,0.0,924.0,13706.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,53759.0,133745.0,7.0,0.0,13.0
5.06,18.75,76.19,0.0,0.0,0.0,132603904.0,22700032.0,263057408.0,3595902976.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1446.0,19826.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,35416.0,117186.0,5.0,0.0,7.0
0.86,16.619,82.521,0.0,0.0,0.0,132706304.0,22700032.0,263061504.0,3595796480.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,28769.0,108106.0,4.0,0.0,5.0
2.319,18.551,79.13,0.0,0.0,0.0,132046848.0,22700032.0,263065600.0,3596451840.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,39977.0,122649.0,0.0,0.0,5.0
2.279,20.513,76.923,0.285,0.0,0.0,132304896.0,22708224.0,263057408.0,3596193792.0,2144.0,15354.0,0.0,24576.0,0.0,4.0,1410.0,20249.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,40562.0,124209.0,1.0,0.0,5.0
1.813,17.523,80.665,0.0,0.0,0.0,132067328.0,22708224.0,263069696.0,3596419072.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1613.0,21189.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43780.0,127630.0,1.0,0.0,5.0
2.812,13.75,83.438,0.0,0.0,0.0,132431872.0,22708224.0,263069696.0,3596054528.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1285.0,18962.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43785.0,127765.0,2.0,0.0,5.0
2.0,22.857,75.143,0.0,0.0,0.0,132583424.0,22708224.0,263069696.0,3595902976.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43392.0,126081.0,4.0,0.0,5.0
1.183,19.527,79.29,0.0,0.0,0.0,132444160.0,22708224.0,263069696.0,3596042240.0,2144.0,15354.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43737.0,127500.0,6.0,0.0,5.0
