usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
9.798,23.055,67.147,0.0,0.0,0.0,126488576.0,20746240.0,263110656.0,3603918848.0,2048.0,15394.0,0.0,0.0,0.0,0.0,1362.0,18975.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,45517.0,127978.0,5.0,0.0,21.0
1.899,22.468,75.633,0.0,0.0,0.0,126488576.0,20746240.0,263110656.0,3603918848.0,2016.0,15394.0,0.0,0.0,0.0,0.0,1212.0,19916.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57383.0,140547.0,4.0,0.0,9.0
3.364,18.349,78.287,0.0,0.0,0.0,126517248.0,20754432.0,263114752.0,3603877888.0,2016.0,15394.0,0.0,40960.0,0.0,4.0,1788.0,21346.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,47968.0,130879.0,1.0,0.0,6.0
1.524,19.207,78.963,0.0,0.0,0.305,126513152.0,20754432.0,263118848.0,3603877888.0,2016.0,15394.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,50043.0,134584.0,2.0,0.0,5.0
3.236,18.77,77.994,0.0,0.0,0.0,126513152.0,20754432.0,263118848.0,3603877888.0,2016.0,15394.0,0.0,0.0,0.0,0.0,1417.0,19892.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57668.0,141258.0,2.0,0.0,9.0
3.03,22.121,74.848,0.0,0.0,0.0,126357504.0,20754432.0,263122944.0,3604029440.0,2016.0,15394.0,0.0,0.0,0.0,0.0,1122.0,20249.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,54967.0,138588.0,4.0,0.0,5.0
2.786,20.433,76.78,0.0,0.0,0.0,126099456.0,20754432.0,263122944.0,3604287488.0,2016.0,15402.0,0.0,0.0,0.0,0.0,1314.0,19403.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58264.0,142509.0,4.0,0.0,10.0
1.76,24.927,73.314,0.0,0.0,0.0,126369792.0,20762624.0,263122944.0,3604008960.0,2016.0,15399.0,0.0,24576.0,0.0,4.0,1188.0,18861.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58635.0,143274.0,3.0,0.0,5.0
1.923,17.628,80.449,0.0,0.0,0.0,126627840.0,20762624.0,263122944.0,3603750912.0,2016.0,15399.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58727.0,143473.0,4.0,0.0,5.0
1.749,21.574,76.676,0.0,0.0,0.0,126722048.0,20762624.0,263127040.0,3603652608.0,2016.0,15395.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,52326.0,137140.0,5.0,0.0,5.0
15.274,19.597,65.13,0.0,0.0,0.0,125231104.0,20762624.0,263127040.0,3605143552.0,1888.0,15390.0,0.0,0.0,0.0,0.0,1304.0,16198.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,48932.0,127633.0,4.0,0.0,18.0
2.801,17.647,79.272,0.0,0.0,0.28,125870080.0,20762624.0,263131136.0,3604500480.0,1856.0,15390.0,0.0,0.0,0.0,0.0,1254.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,37231.0,121623.0,4.0,0.0,5.0
1.913,16.94,81.148,0.0,0.0,0.0,126021632.0,20770816.0,263131136.0,3604340736.0,1824.0,15390.0,0.0,24576.0,0.0,4.0,1248.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,29872.0,114001.0,0.0,0.0,5.0
1.882,15.323,82.796,0.0,0.0,0.0,126226432.0,20770816.0,263135232.0,3604131840.0,1760.0,15390.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,32553.0,120652.0,3.0,0.0,5.0
0.865,13.833,85.303,0.0,0.0,0.0,126402560.0,20770816.0,263135232.0,3603955712.0,1696.0,15390.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,47371.0,138533.0,3.0,0.0,5.0
1.695,14.972,83.051,0.282,0.0,0.0,126357504.0,20770816.0,263135232.0,3604000768.0,1632.0,15390.0,0.0,172032.0,0.0,20.0,1266.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,46870.0,137995.0,6.0,0.0,18.0
3.17,17.867,78.963,0.0,0.0,0.0,126533632.0,20770816.0,263139328.0,3603820544.0,1952.0,15400.0,0.0,0.0,0.0,0.0,3682.0,21370.0,9.0,9.0,0.0,2.0,0.0,176.0,15.0,12.0,0.0,0.0,30619.0,115445.0,2.0,0.0,19.0
0.568,19.602,79.83,0.0,0.0,0.0,126521344.0,20779008.0,263143424.0,3603820544.0,1952.0,15397.0,0.0,49152.0,0.0,4.0,1188.0,20857.0,9.0,9.0,0.0,2.0,0.0,176.0,15.0,12.0,0.0,0.0,33895.0,116485.0,0.0,0.0,5.0
1.754,19.883,78.363,0.0,0.0,0.0,126521344.0,20779008.0,263143424.0,3603820544.0,1984.0,15397.0,0.0,0.0,0.0,0.0,1345.0,18896.0,9.0,9.0,0.0,2.0,0.0,176.0,15.0,12.0,0.0,0.0,43304.0,127130.0,5.0,0.0,5.0
1.183,20.414,78.402,0.0,0.0,0.0,126267392.0,20779008.0,263143424.0,3604074496.0,1984.0,15397.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,9.0,0.0,2.0,0.0,176.0,15.0,12.0,0.0,0.0,47509.0,131473.0,1.0,0.0,5.0
8.841,20.122,70.732,0.0,0.0,0.305,126394368.0,20779008.0,263143424.0,3603947520.0,2016.0,15394.0,0.0,0.0,0.0,0.0,1446.0,20857.0,9.0,9.0,0.0,2.0,0.0,176.0,15.0,12.0,0.0,0.0,54408.0,134583.0,5.0,0.0,13.0
3.738,19.315,76.947,0.0,0.0,0.0,124317696.0,20779008.0,263147520.0,3606020096.0,2016.0,15376.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58074.0,142521.0,3.0,1.0,5.0
5.682,23.295,71.023,0.0,0.0,0.0,126472192.0,20787200.0,263147520.0,3603857408.0,1984.0,15392.0,0.0,24576.0,0.0,4.0,1248.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,43737.0,127227.0,4.0,0.0,7.0
1.515,18.182,80.303,0.0,0.0,0.0,126615552.0,20787200.0,263147520.0,3603714048.0,1984.0,15392.0,0.0,0.0,0.0,0.0,1188.0,19892.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,46527.0,130686.0,1.0,0.0,5.0
1.893,18.612,79.495,0.0,0.0,0.0,126627840.0,20787200.0,263151616.0,3603697664.0,1984.0,15392.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58247.0,142775.0,1.0,0.0,5.0
2.795,18.944,78.261,0.0,0.0,0.0,126885888.0,20787200.0,263151616.0,3603439616.0,1984.0,15392.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58282.0,142902.0,4.0,0.0,5.0
3.939,20.909,75.152,0.0,0.0,0.0,126889984.0,20787200.0,263155712.0,3603431424.0,1984.0,15397.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57778.0,141751.0,1.0,0.0,10.0
1.929,18.971,79.1,0.0,0.0,0.0,126857216.0,20795392.0,263155712.0,3603456000.0,1952.0,15397.0,0.0,24576.0,0.0,4.0,1254.0,20923.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57487.0,141989.0,6.0,0.0,5.0
1.875,21.562,76.562,0.0,0.0,0.0,126468096.0,20795392.0,263159808.0,3603841024.0,1952.0,15397.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57622.0,142355.0,2.0,0.0,5.0
0.649,21.429,77.922,0.0,0.0,0.0,126578688.0,20795392.0,263159808.0,3603730432.0,1952.0,15397.0,0.0,0.0,0.0,0.0,1272.0,19958.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57068.0,140991.0,5.0,0.0,9.0
9.062,19.375,71.562,0.0,0.0,0.0,126480384.0,20795392.0,263159808.0,3603828736.0,2016.0,15397.0,0.0,0.0,0.0,0.0,1700.0,20321.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,54134.0,132050.0,4.0,0.0,16.0
2.154,22.154,75.692,0.0,0.0,0.0,126480384.0,20795392.0,263159808.0,3603828736.0,2016.0,15398.0,0.0,0.0,0.0,0.0,1460.0,18927.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57735.0,142547.0,4.0,0.0,3.0
