usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.208,23.028,74.448,0.0,0.0,0.315,132296704.0,20115456.0,264294400.0,3597557760.0,2080.0,17088.0,0.0,0.0,0.0,0.0,330.0,270.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,57528.0,138488.0,2.0,0.0,29.0
2.719,20.242,77.039,0.0,0.0,0.0,132550656.0,20115456.0,264298496.0,3597299712.0,2080.0,17088.0,0.0,0.0,0.0,0.0,642.0,180.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,58885.0,130406.0,3.0,0.0,17.0
15.344,10.053,74.339,0.0,0.0,0.265,127512576.0,20148224.0,264302592.0,3602300928.0,1952.0,17029.0,57344.0,32768.0,14.0,4.0,27854.0,6874.0,9.0,9.0,0.0,5.0,2.0,173.0,17.0,12.0,0.0,0.0,15763.0,34506.0,1.0,0.0,15.0
22.25,4.25,73.25,0.0,0.0,0.25,124407808.0,20148224.0,264310784.0,3605397504.0,1984.0,17060.0,0.0,0.0,0.0,0.0,1159.0,1460.0,9.0,9.0,0.0,5.0,2.0,181.0,17.0,12.0,0.0,0.0,499.0,578.0,0.0,0.0,31.0
1.604,5.348,93.048,0.0,0.0,0.0,124682240.0,20148224.0,264310784.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,3282.0,1412.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,10249.0,24343.0,4.0,0.0,17.0
1.905,20.317,77.778,0.0,0.0,0.0,124678144.0,20148224.0,264314880.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1461.0,21999.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,57628.0,141789.0,2.0,0.0,5.0
3.625,22.356,74.018,0.0,0.0,0.0,124678144.0,20148224.0,264314880.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1116.0,19589.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,58177.0,142898.0,3.0,0.0,5.0
2.83,20.126,77.044,0.0,0.0,0.0,124665856.0,20156416.0,264318976.0,3605123072.0,2048.0,17075.0,0.0,32768.0,0.0,4.0,1116.0,18558.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,58075.0,142729.0,4.0,0.0,5.0
8.282,21.166,70.245,0.0,0.0,0.307,124633088.0,20156416.0,264318976.0,3605155840.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1244.0,19589.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,54411.0,131595.0,3.0,0.0,13.0
3.135,21.317,75.549,0.0,0.0,0.0,124923904.0,20156416.0,264318976.0,3604865024.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1476.0,19949.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,58246.0,142626.0,3.0,0.0,21.0
1.929,19.614,78.457,0.0,0.0,0.0,124944384.0,20160512.0,264327168.0,3604832256.0,2048.0,17072.0,8192.0,8192.0,2.0,2.0,1266.0,20710.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,58274.0,142706.0,3.0,0.0,9.0
2.053,23.46,74.487,0.0,0.0,0.0,124940288.0,20160512.0,264331264.0,3604832256.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1116.0,18558.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,51155.0,134430.0,7.0,0.0,5.0
1.923,22.527,75.549,0.0,0.0,0.0,124899328.0,20168704.0,264331264.0,3604865024.0,2048.0,17072.0,0.0,49152.0,0.0,4.0,1110.0,18558.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,37208.0,119969.0,6.0,0.0,5.0
1.412,22.881,75.706,0.0,0.0,0.0,124895232.0,20168704.0,264335360.0,3604865024.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1146.0,20710.0,9.0,10.0,0.0,3.0,2.0,180.0,18.0,12.0,0.0,0.0,43892.0,128258.0,2.0,0.0,9.0
2.981,26.829,70.19,0.0,0.0,0.0,124928000.0,20168704.0,264335360.0,3604832256.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1110.0,18558.0,9.0,10.0,0.0,3.0,2.0,180.0,18.0,12.0,0.0,0.0,43006.0,125369.0,3.0,0.0,10.0
0.546,27.869,71.311,0.273,0.0,0.0,125018112.0,20180992.0,264359936.0,3604705280.0,2048.0,17075.0,24576.0,221184.0,6.0,18.0,1250.0,19589.0,9.0,10.0,0.0,3.0,2.0,180.0,18.0,12.0,0.0,0.0,49298.0,133713.0,3.0,0.0,5.0
1.608,17.685,80.707,0.0,0.0,0.0,125009920.0,20180992.0,264368128.0,3604705280.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1176.0,19589.0,9.0,10.0,0.0,3.0,2.0,180.0,18.0,12.0,0.0,0.0,58252.0,143702.0,1.0,0.0,5.0
2.216,28.255,69.252,0.277,0.0,0.0,124850176.0,20189184.0,264368128.0,3604856832.0,2048.0,17075.0,0.0,57344.0,0.0,4.0,1188.0,18558.0,9.0,10.0,0.0,3.0,2.0,180.0,18.0,12.0,0.0,0.0,58307.0,143701.0,1.0,0.0,5.0
7.08,23.599,69.027,0.0,0.0,0.295,124465152.0,20189184.0,264372224.0,3605237760.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1182.0,20554.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,54751.0,136364.0,4.0,0.0,13.0
1.818,22.121,76.061,0.0,0.0,0.0,124465152.0,20189184.0,264372224.0,3605237760.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1056.0,18558.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58297.0,143780.0,4.0,0.0,5.0
0.968,18.065,80.968,0.0,0.0,0.0,124493824.0,20189184.0,264376320.0,3605204992.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1050.0,19679.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58206.0,143654.0,3.0,0.0,5.0
1.441,25.937,72.622,0.0,0.0,0.0,124600320.0,20189184.0,264376320.0,3605098496.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1116.0,19589.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58190.0,143522.0,5.0,0.0,5.0
2.516,20.44,77.044,0.0,0.0,0.0,124452864.0,20197376.0,264376320.0,3605237760.0,2048.0,17095.0,0.0,32768.0,0.0,4.0,1430.0,19053.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58140.0,143526.0,4.0,0.0,8.0
2.299,25.575,72.126,0.0,0.0,0.0,124747776.0,20197376.0,264380416.0,3604938752.0,2048.0,17093.0,0.0,0.0,0.0,0.0,1050.0,19659.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58306.0,143683.0,1.0,0.0,5.0
3.488,21.512,75.0,0.0,0.0,0.0,124596224.0,20197376.0,264380416.0,3605090304.0,2048.0,17095.0,0.0,0.0,0.0,0.0,1050.0,18558.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,48641.0,133602.0,2.0,0.0,10.0
2.346,24.047,73.607,0.0,0.0,0.0,124563456.0,20197376.0,264380416.0,3605123072.0,2048.0,17095.0,0.0,16384.0,0.0,2.0,1056.0,19589.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58178.0,143438.0,2.0,0.0,5.0
1.235,21.296,77.469,0.0,0.0,0.0,124243968.0,20197376.0,264384512.0,3605438464.0,2048.0,17095.0,0.0,0.0,0.0,0.0,1498.0,20872.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58208.0,143628.0,3.0,0.0,5.0
1.84,21.166,76.994,0.0,0.0,0.0,124334080.0,20205568.0,264388608.0,3605336064.0,2048.0,17095.0,0.0,49152.0,0.0,4.0,1212.0,18648.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58179.0,143539.0,1.0,0.0,5.0
8.876,22.189,68.935,0.0,0.0,0.0,124932096.0,20205568.0,264388608.0,3604738048.0,2080.0,17091.0,0.0,0.0,0.0,0.0,1722.0,19865.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,54556.0,135993.0,2.0,0.0,13.0
2.279,27.35,70.37,0.0,0.0,0.0,124985344.0,20205568.0,264388608.0,3604684800.0,2080.0,17091.0,0.0,0.0,0.0,0.0,1754.0,20183.0,9.0,10.0,0.0,2.0,2.0,180.0,18.0,12.0,0.0,0.0,58285.0,143667.0,4.0,0.0,17.0
1.25,20.625,78.125,0.0,0.0,0.0,124174336.0,20205568.0,264392704.0,3605491712.0,2048.0,17003.0,0.0,0.0,0.0,0.0,1050.0,18558.0,9.0,9.0,0.0,2.0,3.0,173.0,18.0,10.0,0.0,0.0,58137.0,143400.0,3.0,0.0,5.0
2.778,20.062,77.16,0.0,0.0,0.0,124137472.0,20205568.0,264388608.0,3605532672.0,2048.0,17002.0,0.0,0.0,0.0,0.0,1236.0,20800.0,9.0,9.0,0.0,2.0,3.0,173.0,18.0,10.0,0.0,0.0,58455.0,144171.0,4.0,0.0,13.0
3.79,24.198,72.012,0.0,0.0,0.0,123940864.0,20213760.0,264392704.0,3605716992.0,2048.0,17089.0,0.0,32768.0,0.0,4.0,7025.0,20270.0,9.0,10.0,0.0,2.0,3.0,181.0,19.0,12.0,0.0,0.0,57262.0,141879.0,5.0,0.0,12.0
1.458,26.531,72.012,0.0,0.0,0.0,124178432.0,20213760.0,264396800.0,3605475328.0,2048.0,17089.0,0.0,0.0,0.0,0.0,1260.0,19859.0,9.0,10.0,0.0,2.0,3.0,181.0,19.0,12.0,0.0,0.0,58200.0,143473.0,2.0,0.0,21.0
2.367,24.26,73.373,0.0,0.0,0.0,124469248.0,20213760.0,264396800.0,3605184512.0,2048.0,17095.0,0.0,0.0,0.0,0.0,1477.0,19892.0,9.0,10.0,0.0,2.0,3.0,181.0,19.0,12.0,0.0,0.0,57807.0,142740.0,1.0,0.0,10.0
