usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
1.667,23.889,74.444,0.0,0.0,0.0,129511424.0,19947520.0,262721536.0,3602083840.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43832.0,127721.0,6.0,0.0,5.0
1.183,19.822,78.994,0.0,0.0,0.0,129687552.0,19947520.0,262721536.0,3601907712.0,2048.0,17030.0,0.0,0.0,0.0,0.0,1248.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43426.0,127507.0,5.0,0.0,5.0
9.275,23.188,67.536,0.0,0.0,0.0,129888256.0,19955712.0,262721536.0,3601698816.0,2048.0,17034.0,0.0,32768.0,0.0,4.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43197.0,126763.0,0.0,0.0,12.0
1.972,23.38,74.648,0.0,0.0,0.0,129912832.0,19955712.0,262729728.0,3601666048.0,2048.0,17033.0,0.0,0.0,0.0,0.0,1438.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43563.0,127379.0,4.0,0.0,5.0
2.736,22.492,74.772,0.0,0.0,0.0,129662976.0,19955712.0,262729728.0,3601915904.0,2080.0,17033.0,0.0,0.0,0.0,0.0,1320.0,19225.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58304.0,143784.0,6.0,0.0,8.0
2.695,23.952,73.353,0.0,0.0,0.0,129654784.0,19955712.0,262729728.0,3601924096.0,2080.0,17033.0,0.0,0.0,0.0,0.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57916.0,142999.0,5.0,0.0,5.0
7.714,26.286,66.0,0.0,0.0,0.0,130392064.0,19955712.0,262733824.0,3601182720.0,2080.0,17029.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,46390.0,127585.0,6.0,0.0,13.0
3.438,23.496,73.066,0.0,0.0,0.0,130543616.0,19963904.0,262733824.0,3601022976.0,2080.0,17029.0,0.0,32768.0,0.0,4.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,50190.0,135085.0,6.0,0.0,9.0
1.846,21.231,76.923,0.0,0.0,0.0,130510848.0,19963904.0,262733824.0,3601055744.0,2048.0,17025.0,0.0,0.0,0.0,0.0,1254.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58340.0,143401.0,4.0,0.0,5.0
1.258,17.925,80.818,0.0,0.0,0.0,130244608.0,19963904.0,262733824.0,3601321984.0,2016.0,17025.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,59058.0,145985.0,4.0,0.0,5.0
1.538,17.846,80.615,0.0,0.0,0.0,130260992.0,19968000.0,262746112.0,3601289216.0,1952.0,17025.0,8192.0,8192.0,2.0,2.0,1188.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,56577.0,143552.0,1.0,0.0,5.0
1.238,15.789,82.972,0.0,0.0,0.0,130060288.0,19968000.0,262746112.0,3601489920.0,1888.0,17025.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,61221.0,150133.0,3.0,0.0,5.0
1.198,19.162,79.341,0.0,0.0,0.299,129912832.0,19976192.0,262746112.0,3601629184.0,1856.0,17030.0,0.0,49152.0,0.0,4.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,60676.0,148871.0,1.0,0.0,10.0
6.422,17.125,76.453,0.0,0.0,0.0,127557632.0,19976192.0,262746112.0,3603984384.0,1792.0,17011.0,0.0,0.0,0.0,0.0,1481.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,60163.0,147441.0,4.0,0.0,5.0
8.239,13.352,78.409,0.0,0.0,0.0,129421312.0,19976192.0,262754304.0,3602112512.0,1760.0,17027.0,0.0,0.0,0.0,0.0,1122.0,20249.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,50284.0,141161.0,1.0,0.0,7.0
5.607,19.938,74.143,0.312,0.0,0.0,129675264.0,19988480.0,262778880.0,3601821696.0,2080.0,17023.0,24576.0,172032.0,6.0,18.0,3847.0,21890.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,58774.0,143596.0,6.0,0.0,27.0
8.0,20.615,71.385,0.0,0.0,0.0,129519616.0,19988480.0,262782976.0,3601973248.0,2080.0,17020.0,0.0,0.0,0.0,0.0,1254.0,18795.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,54858.0,134889.0,4.0,0.0,13.0
1.597,18.53,79.872,0.0,0.0,0.0,129400832.0,19996672.0,262787072.0,3602079744.0,2080.0,17020.0,0.0,57344.0,0.0,4.0,1380.0,20923.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,58747.0,142904.0,1.0,0.0,5.0
1.863,20.186,77.95,0.0,0.0,0.0,129249280.0,19996672.0,262787072.0,3602231296.0,2080.0,17020.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,58882.0,143279.0,2.0,0.0,5.0
1.603,18.269,80.128,0.0,0.0,0.0,129175552.0,19996672.0,262787072.0,3602305024.0,2080.0,17020.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,58742.0,142966.0,2.0,0.0,5.0
0.315,20.505,79.18,0.0,0.0,0.0,129400832.0,19996672.0,262787072.0,3602079744.0,2080.0,17020.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58786.0,143008.0,2.0,0.0,5.0
